"id","serverTime","userTime","gameVersion","playerId","playerBirthdate","playerRegion","playerCountry","playerGender","playerExternalId","playerCustomData","type","coordinates","section","customData.language","customData.controls","customData.device","customData.sound","customData.gamelevel","customData","customData.dnabit"
"13815a6e-da1d-4b1d-862f-6e394a4cec98","2015-09-10T12:32:45.204Z","2015-09-10T12:32:48.469Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","2bb4a2ab-eaf1-4e0e-b2fe-5f5e88248733",,,,,,,"start","[-6, 143]","",,,,,,"null",
"36963346-0445-45ce-bad0-b767325becb2","2015-09-10T12:32:45.212Z","2015-09-10T12:32:48.481Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","8565a7b9-811b-4b56-9cae-c7eeb28314d7",,,,,,,"start","[-6, 143]","",,,,,,"null",
"7705c2aa-1de0-40c2-8cea-71e60b326f54","2015-09-10T12:33:35.665Z","2015-09-10T12:33:38.935Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","8565a7b9-811b-4b56-9cae-c7eeb28314d7",,,,,,,"reach","[-6, 134]","Checkpoint01",,,,,,"null",
"b327e325-bf7d-4ecc-9c7c-ab9b3894eedd","2015-09-10T13:41:43.245Z","2015-09-10T13:41:46.501Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","4d9c1137-d582-4333-b264-e59eebd2b6d8",,,,,,,"start","[-6, 143]","",,,,,,"null",
"d00eb541-9be1-4483-b622-f72b30507adb","2015-09-10T13:41:53.529Z","2015-09-10T13:41:56.785Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","4d9c1137-d582-4333-b264-e59eebd2b6d8",,,,,,,"reach","[-4, 134]","Checkpoint01",,,,,,"null",
"e2df78c1-bed9-4aec-81de-c6bbac9a9168","2015-09-10T13:42:23.876Z","2015-09-10T13:42:27.136Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","048c0015-22c3-42f2-a5e9-1d3251e39155",,,,,,,"start","[-6, 143]","",,,,,,"null",
"0926d6b1-e3f2-482b-a94d-3c7cd206c3db","2015-09-10T13:42:31.324Z","2015-09-10T13:42:34.583Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","048c0015-22c3-42f2-a5e9-1d3251e39155",,,,,,,"reach","[-4, 134]","Checkpoint01",,,,,,"null",
"bea659ec-e2a0-4c0f-9a5a-15d90577ed44","2015-09-10T13:42:42.172Z","2015-09-10T13:42:45.431Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","c686c726-251d-4462-8ce3-b33095b30e0a",,,,,,,"start","[-6, 143]","",,,,,,"null",
"75822632-815a-4c02-8271-0069ae2b7b04","2015-09-10T13:42:48.657Z","2015-09-10T13:42:51.918Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","c686c726-251d-4462-8ce3-b33095b30e0a",,,,,,,"reach","[-6, 134]","Checkpoint01",,,,,,"null",
"827daa67-f2ba-41d5-955e-04b17a47ea8e","2015-09-10T13:43:44.655Z","2015-09-10T13:43:47.921Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","9a8eff2e-5305-4973-97b4-958228da4d86",,,,,,,"start","[-6, 143]","",,,,,,"null",
"eee5b9ab-613f-436c-89b3-8e346f9ea107","2015-09-10T13:43:51.036Z","2015-09-10T13:43:54.296Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","9a8eff2e-5305-4973-97b4-958228da4d86",,,,,,,"reach","[-5, 134]","Checkpoint01",,,,,,"null",
"5309d2c9-301a-49e0-8f2d-17711655c85c","2015-09-10T13:43:54.636Z","2015-09-10T13:43:57.896Z","be209fe8-0ef3-4291-a5f4-c2b389f5d77d","9a8eff2e-5305-4973-97b4-958228da4d86",,,,,,,"restart","[-5, 134]","Checkpoint01",,,,,,"null",
